costat,curcdq,datafmt,indfmt,consol,sic,datadate,gvkey,tic,dlcq,dlttq
I,USD,STD,BANK,C,6020,2004-09-30,063318,GFLS,29.2380,109.0000
A,USD,STD,BANK,C,6020,2004-09-30,063402,CHBH,10.1880,28.9500
I,USD,STD,BANK,C,6020,2004-09-30,063479,BARI,11.2390,229.3470
I,USD,STD,BANK,C,6020,2004-09-30,063486,MSBK,115.1920,277.7510
I,USD,STD,BANK,C,6020,2004-09-30,063511,PCBS,24.0000,74.0000
I,USD,STD,BANK,C,6020,2004-09-30,063518,RGFCQ,2554.6200,1474.6280
I,USD,STD,BANK,C,6020,2004-09-30,063538,SNBC,69.9300,226.8910
I,USD,STD,BANK,C,6020,2004-09-30,063543,SGB,8.0000,25.6310
I,USD,STD,BANK,C,6020,2004-09-30,063551,FMFC.1,20.7460,144.0970
A,USD,STD,BANK,C,6020,2004-09-30,063590,BKRIY,867.9480,26391.0920
I,USD,STD,BANK,C,6020,2004-09-30,063687,CFCB,30.9830,48.9310
I,USD,STD,BANK,C,6020,2004-09-30,063699,PREM.2,0.4930,43.1810
I,USD,STD,BANK,C,6020,2004-09-30,063723,NBTF,29.0580,112.3120
A,USD,STD,BANK,C,6020,2004-09-30,063725,WTBA,139.7650,101.9670
A,USD,STD,BANK,C,6020,2004-09-30,063781,WTFC,39.3580,466.2540
I,USD,STD,BANK,C,6020,2004-09-30,063799,BKBK,19.7060,100.7550
I,USD,STD,BANK,C,6020,2004-09-30,063814,NOVB,39.1200,21.6500
I,USD,STD,BANK,C,6020,2004-09-30,063954,CMOH,0.0000,22.5000
I,USD,STD,BANK,C,6020,2004-09-30,063998,GLDB.1,155.4030,717.9300
I,USD,STD,BANK,C,6020,2004-09-30,064011,SCB.1,12.2950,30.5760
I,USD,STD,BANK,C,6020,2004-09-30,064082,PRWT,0.0000,2.5790
I,USD,STD,BANK,C,6020,2004-09-30,064142,CCBD,37.9550,51.6840
I,USD,STD,BANK,C,6020,2004-09-30,064194,FMARQ,267.5840,47.9390
I,USD,STD,BANK,C,6020,2004-09-30,064218,WIBC,29.0000,41.4640
A,USD,STD,BANK,C,6020,2004-09-30,064228,UBFO,0.0000,15.5990
I,USD,STD,BANK,C,6020,2004-09-30,064301,ABNK.1,1080.0860,173.1560
A,USD,STD,BANK,C,6020,2004-09-30,064547,SSB,71.2140,51.9750
I,USD,STD,BANK,C,6020,2004-09-30,064584,FSBK,4.3000,28.0000
A,USD,STD,BANK,C,6020,2004-09-30,064628,SBNC,17.6650,23.7110
I,USD,STD,BANK,C,6020,2004-09-30,064748,WSBA,0.0000,57.9960
A,USD,STD,BANK,C,6020,2004-09-30,064784,JFBC,2.3630,22.0000
A,USD,STD,BANK,C,6020,2004-09-30,064794,UCB,,699.3910
I,USD,STD,BANK,C,6020,2004-09-30,064930,TIBB,9.3530,43.2500
I,USD,STD,BANK,C,6020,2004-09-30,064979,PPBI,98.5000,63.7100
A,USD,STD,BANK,C,6020,2004-09-30,065050,GLBZ,0.4000,12.3620
I,USD,STD,BANK,C,6020,2004-09-30,065069,MDST.,0.0000,5.8430
A,USD,STD,BANK,C,6020,2004-09-30,065106,OZK,45.8780,201.4190
I,USD,STD,BANK,C,6020,2004-09-30,065133,CBKN,20.0120,122.0080
I,USD,STD,BANK,C,6020,2004-09-30,065176,EVBN,7.3270,48.4510
I,USD,STD,BANK,C,6020,2004-09-30,065214,3DCBF,17.0000,66.1400
A,USD,STD,BANK,C,6020,2004-09-30,065228,COLB,47.7520,254.8010
I,USD,STD,BANK,C,6020,2004-09-30,065231,WGNB,0.0000,55.0000
I,USD,STD,BANK,C,6020,2004-09-30,065266,FNBP.1,95.1000,27.8360
I,USD,STD,BANK,C,6020,2004-09-30,065325,STBK.,0.0000,22.3440
I,USD,STD,BANK,C,6020,2004-09-30,065426,SHBK,0.0000,13.5830
I,USD,STD,BANK,C,6020,2004-09-30,065444,SSFN,2.1130,24.2240
I,USD,STD,BANK,C,6020,2004-09-30,065467,FCCY,1.9410,21.6550
I,USD,STD,BANK,C,6020,2004-09-30,065483,STEL.1,20.4000,34.0800
I,USD,STD,BANK,C,6020,2004-09-30,065515,ANNB,10.0710,20.0000
I,USD,STD,BANK,C,6020,2004-09-30,065532,PCBK,16.0800,27.5000
A,USD,STD,BANK,C,6020,2004-09-30,065548,CAC,301.8380,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,065610,MBRG,43.6840,67.1000
A,USD,STD,BANK,C,6020,2004-09-30,065689,MBWM,46.6910,138.0030
I,USD,STD,BANK,C,6020,2004-09-30,065713,CLBH,3.3310,21.4850
I,USD,STD,BANK,C,6020,2004-09-30,065758,FCEN.1,20.0000,17.9010
I,USD,STD,BANK,C,6020,2004-09-30,065884,SBBX,2.3850,15.1550
I,USD,STD,BANK,C,6020,2004-09-30,065895,LICB,50.4300,83.7320
A,USD,STD,BANK,C,6020,2004-09-30,065958,CFFI,76.9560,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,065971,IBCA.1,19.0000,148.1620
I,USD,STD,BANK,C,6020,2004-09-30,066095,SWCB,0.0000,8.3700
I,USD,STD,BANK,C,6020,2004-09-30,066098,VSBN,0.0000,5.0000
I,USD,STD,BANK,C,6020,2004-09-30,066148,EVBS,5.4020,33.5710
A,USD,STD,BANK,C,6020,2004-09-30,066155,NWFL,11.1940,23.0000
I,USD,STD,BANK,C,6020,2004-09-30,066161,OLBK,0.0000,6.0000
I,USD,STD,BANK,C,6020,2004-09-30,066164,PSBC,1.0000,12.7640
I,USD,STD,BANK,C,6020,2004-09-30,066185,CBBO,0.0000,39.6250
I,USD,STD,BANK,C,6020,2004-09-30,066188,3FLFL,97.5330,7.0110
A,USD,STD,BANK,C,6020,2004-09-30,066210,LCNB,0.0000,4.7810
A,USD,STD,BANK,C,6020,2004-09-30,066235,HOPE,0.0000,49.2680
I,USD,STD,BANK,C,6020,2004-09-30,066272,MYST,0.0000,69.4250
A,USD,STD,BANK,C,6020,2004-09-30,066285,HFWA,0.0000,29.2770
A,USD,STD,BANK,C,6020,2004-09-30,066288,MPB,9.2290,49.9860
I,USD,STD,BANK,C,6020,2004-09-30,066313,OPOF,38.0490,61.2380
I,USD,STD,BANK,C,6020,2004-09-30,066336,TSBA,0.0320,4.7910
I,USD,STD,BANK,C,6020,2004-09-30,066375,3TCBA,4.2450,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,066484,ECBE,23.2000,31.3100
A,USD,STD,BANK,C,6020,2004-09-30,066503,CTBK,0.5370,81.1910
A,USD,STD,BANK,C,6020,2004-09-30,066504,CBAN,0.0000,81.5810
A,USD,STD,BANK,C,6020,2004-09-30,066597,FUSB,9.0050,99.6660
I,USD,STD,BANK,C,6020,2004-09-30,066648,CWLZ,9.3000,0.5570
I,USD,STD,BANK,C,6020,2004-09-30,066672,CAVB,0.0000,2.8480
I,USD,STD,BANK,C,6020,2004-09-30,105369,AMAB,,
A,USD,STD,BANK,C,6020,2004-09-30,105538,BSRR,43.3420,105.9280
I,USD,STD,BANK,C,6020,2004-09-30,105670,BRKL,0.0000,305.4900
I,USD,STD,BANK,C,6020,2004-09-30,106073,CSNT,7.0000,27.7450
I,USD,STD,BANK,C,6020,2004-09-30,106404,FBSS,0.0000,19.0000
I,USD,STD,BANK,C,6020,2004-09-30,106807,3HRTB,5.2610,10.1550
I,USD,STD,BANK,C,6020,2004-09-30,106887,IRW,29.5940,70.6620
I,USD,STD,BANK,C,6020,2004-09-30,107325,MCBC,0.0000,162.8540
I,USD,STD,BANK,C,6020,2004-09-30,107643,NWYF,10.6350,98.6200
A,USD,STD,BANK,C,6020,2004-09-30,107817,PGC,0.0000,75.3080
I,USD,STD,BANK,C,6020,2004-09-30,108154,SJOE,13.0260,44.7400
I,USD,STD,BANK,C,6020,2004-09-30,108306,SCMF,53.9330,158.6240
I,USD,STD,BANK,C,6020,2004-09-30,108449,TAYC,216.9120,173.1380
I,USD,STD,BANK,C,6020,2004-09-30,108481,TMCV,0.0000,20.6200
A,USD,STD,BANK,C,6020,2004-09-30,108664,UBOH,54.0000,70.1670
I,USD,STD,BANK,C,6020,2004-09-30,108752,NBAN,0.0000,29.3100
A,USD,STD,BANK,C,6020,2004-09-30,109183,PFBC,,
I,USD,STD,BANK,C,6020,2004-09-30,109318,DEAR,0.0000,30.6140
I,USD,STD,BANK,C,6020,2004-09-30,109584,FTBK,8.7620,185.0920
A,USD,STD,BANK,C,6020,2004-09-30,109599,HTBK,47.8000,23.7020
I,USD,STD,BANK,C,6020,2004-09-30,109621,LBAI,43.4020,98.9630
I,USD,STD,BANK,C,6020,2004-09-30,109683,FNFG,192.2820,532.9960
I,USD,STD,BANK,C,6020,2004-09-30,109699,BNCN,17.2130,45.4960
I,USD,STD,BANK,C,6020,2004-09-30,109799,COMB.1,0.3420,52.2230
I,USD,STD,BANK,C,6020,2004-09-30,110164,SOCB,0.0000,65.5000
I,USD,STD,BANK,C,6020,2004-09-30,110250,SMMF,84.8970,170.9550
I,USD,STD,BANK,C,6020,2004-09-30,110399,FBMT,22.2050,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,110488,SVBF,0.0000,23.8450
I,USD,STD,BANK,C,6020,2004-09-30,110683,GNTY.1,58.1460,10.3100
I,USD,STD,BANK,C,6020,2004-09-30,110771,PNTE,71.3810,0.0000
A,USD,STD,BANK,C,6020,2004-09-30,111179,HWBK,33.9790,66.6230
I,USD,STD,BANK,C,6020,2004-09-30,111459,FNHM,0.0000,5.0670
I,USD,STD,BANK,C,6020,2004-09-30,111482,3FCBX,9.7320,141.9060
A,USD,STD,BANK,C,6020,2004-09-30,111537,UNB,0.0000,6.7400
A,USD,STD,BANK,C,6020,2004-09-30,111721,EGBN,30.7030,8.1100
I,USD,STD,BANK,C,6020,2004-09-30,111779,COBZ,340.4000,71.6440
A,USD,STD,BANK,C,6020,2004-09-30,111819,ORRF,34.1070,35.7050
A,USD,STD,BANK,C,6020,2004-09-30,111940,FNLC,172.4420,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,111976,WBCO,0.0000,22.5070
I,USD,STD,BANK,C,6020,2004-09-30,112007,GRNB.1,56.1100,65.4270
I,USD,STD,BANK,C,6020,2004-09-30,112101,SOMH,0.0000,1.0000
I,USD,STD,BANK,C,6020,2004-09-30,112112,BOCH,31.4890,5.0000
A,USD,STD,BANK,C,6020,2004-09-30,112254,PFBX,98.2220,7.2050
A,USD,STD,BANK,C,6020,2004-09-30,112295,FCCO,6.2700,19.6000
I,USD,STD,BANK,C,6020,2004-09-30,112362,BCSB,77.1000,67.0170
I,USD,STD,BANK,C,6020,2004-09-30,112533,APAB,13.0180,46.5570
I,USD,STD,BANK,C,6020,2004-09-30,112593,3FULB,15.0000,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,112618,SBP.1,2623.0030,140.2060
I,USD,STD,BANK,C,6020,2004-09-30,112626,CFNL,0.0000,248.1990
A,USD,STD,BANK,C,6020,2004-09-30,112721,RBCAA,336.7840,401.3090
I,USD,STD,BANK,C,6020,2004-09-30,113093,SAL,0.0000,81.2180
I,USD,STD,BANK,C,6020,2004-09-30,113299,GBTB,20.4790,105.5340
I,USD,STD,BANK,C,6020,2004-09-30,113367,MERB,18.4610,19.9980
I,USD,STD,BANK,C,6020,2004-09-30,113978,FNCB,0.0000,146.5160
I,USD,STD,BANK,C,6020,2004-09-30,114037,3UBMI,0.0760,42.8470
I,USD,STD,BANK,C,6020,2004-09-30,114880,MFNC,0.0000,98.0450
I,USD,STD,BANK,C,6020,2004-09-30,114956,XBKS,0.0000,23.0000
I,USD,STD,BANK,C,6020,2004-09-30,115078,3SERC,0.5000,57.3290
I,USD,STD,BANK,C,6020,2004-09-30,115082,GECR,0.0000,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,115555,BFNBQ,0.0000,21.6550
I,USD,STD,BANK,C,6020,2004-09-30,115566,UCBHQ,74.0270,471.0660
I,USD,STD,BANK,C,6020,2004-09-30,115814,TXUI,9.8730,52.2900
A,USD,STD,BANK,C,6020,2004-09-30,115876,PB,28.3510,72.9210
I,USD,STD,BANK,C,6020,2004-09-30,116409,FWFC,18.1630,11.0000
I,USD,STD,BANK,C,6020,2004-09-30,116531,CJBK,0.0000,5.1550
I,USD,STD,BANK,C,6020,2004-09-30,116586,SUPR,43.8020,189.8170
I,USD,STD,BANK,C,6020,2004-09-30,116615,VAIL,0.7510,58.3460
I,USD,STD,BANK,C,6020,2004-09-30,116791,MCBI.1,0.7750,60.1000
I,USD,STD,BANK,C,6020,2004-09-30,116894,CSHB,14.6810,6.0000
I,USD,STD,BANK,C,6020,2004-09-30,116947,3OKFC,55.5710,30.4050
A,USD,STD,BANK,C,6020,2004-09-30,117018,CFBK,21.4000,17.4250
A,USD,STD,BANK,C,6020,2004-09-30,117034,FCAP,0.2950,64.2490
A,USD,STD,BANK,C,6020,2004-09-30,117141,EFSC,0.0000,32.4620
I,USD,STD,BANK,C,6020,2004-09-30,117161,STL,94.9610,119.9480
I,USD,STD,BANK,C,6020,2004-09-30,117868,TOFC,0.2000,31.6080
I,USD,STD,BANK,C,6020,2004-09-30,117901,CZFC,3.9840,13.0000
A,USD,STD,BANK,C,6020,2004-09-30,118042,EWBC,0.0000,704.1750
I,USD,STD,BANK,C,6020,2004-09-30,118525,EBTC,9.5370,10.8250
A,USD,STD,BANK,C,6020,2004-09-30,119014,ALBY,0.0000,24.3680
I,USD,STD,BANK,C,6020,2004-09-30,119295,GBTS,4.2000,73.6000
A,USD,STD,BANK,C,6020,2004-09-30,119436,FBPI,4.5000,33.6670
I,USD,STD,BANK,C,6020,2004-09-30,119813,ACBA.1,24.2580,27.9060
I,USD,STD,BANK,C,6020,2004-09-30,119974,FSBC.1,24.0000,20.0000
A,USD,STD,BANK,C,6020,2004-09-30,120038,CZBS,24.5000,5.5400
I,USD,STD,BANK,C,6020,2004-09-30,120193,BERK,142.6150,101.6650
I,USD,STD,BANK,C,6020,2004-09-30,120815,EPEN,12.9010,33.2480
I,USD,STD,BANK,C,6020,2004-09-30,121199,CADE.2,44.2810,173.4800
I,USD,STD,BANK,C,6020,2004-09-30,121381,PMBC,82.1490,143.5270
I,USD,STD,BANK,C,6020,2004-09-30,121562,TFINQ,22.5120,131.3710
A,USD,STD,BANK,C,6020,2004-09-30,121713,FISI,38.8610,98.1180
I,USD,STD,BANK,C,6020,2004-09-30,121816,PVTB,210.9580,110.6000
I,USD,STD,BANK,C,6020,2004-09-30,121974,BCAR.1,0.0000,23.6000
I,USD,STD,BANK,C,6020,2004-09-30,122455,BORD,10.4740,43.0550
I,USD,STD,BANK,C,6020,2004-09-30,122494,CAPEQ,0.0000,5.0000
I,USD,STD,BANK,C,6020,2004-09-30,122515,YDKN,0.5590,28.0000
I,USD,STD,BANK,C,6020,2004-09-30,123495,ATBC,10.7430,2.3000
I,USD,STD,BANK,C,6020,2004-09-30,123720,JAXB,0.0000,4.0000
I,USD,STD,BANK,C,6020,2004-09-30,124735,AFBK,0.6550,12.2980
A,USD,STD,BANK,C,6020,2004-09-30,125234,CIZN,0.0000,42.8780
A,USD,STD,BANK,C,6020,2004-09-30,125580,SFST,13.8050,66.7960
I,USD,STD,BANK,C,6020,2004-09-30,126140,PFI.2,0.0000,12.0000
I,USD,STD,BANK,C,6020,2004-09-30,127637,CVBG,20.2110,68.4520
I,USD,STD,BANK,C,6020,2004-09-30,127797,MFSF,0.0000,138.3440
I,USD,STD,BANK,C,6020,2004-09-30,132988,WBNK,5.7000,21.5000
I,USD,STD,BANK,C,6020,2004-09-30,133644,3MSTI,,124.5960
I,USD,STD,BANK,C,6020,2004-09-30,135425,TRCB,,
I,USD,STD,BANK,C,6020,2004-09-30,135784,FNSCQ,0.0000,21.8500
A,USD,STD,BANK,C,6020,2004-09-30,136265,BANC,145.5000,121.6540
I,USD,STD,BANK,C,6020,2004-09-30,136825,BAYN,1.5500,0.5000
I,USD,STD,BANK,C,6020,2004-09-30,136864,MBCRQ,19.0900,50.1580
I,USD,STD,BANK,C,6020,2004-09-30,137351,BHLB,0.0000,324.8310
A,USD,STD,BANK,C,6020,2004-09-30,137370,AMBK,8.8990,106.0760
A,USD,STD,BANK,C,6020,2004-09-30,137944,GGAL,0.0000,4113.7580
I,USD,STD,BANK,C,6020,2004-09-30,138489,TAMB,0.0000,134.4260
A,USD,STD,BANK,C,6020,2004-09-30,139025,PNFP,37.9580,46.8100
I,USD,STD,BANK,C,6020,2004-09-30,140043,CMFB,2.9180,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,140565,SLCT,6.1260,21.3720
I,USD,STD,BANK,C,6020,2004-09-30,140938,VBFC,3.5590,4.0000
A,USD,STD,BANK,C,6020,2004-09-30,141667,PFLC,5.1990,19.5000
I,USD,STD,BANK,C,6020,2004-09-30,142003,JMBI,0.0000,9.0000
I,USD,STD,BANK,C,6020,2004-09-30,142088,CSFL,22.8840,10.0000
A,USD,STD,BANK,C,6020,2004-09-30,143153,SHBI,30.8250,5.0000
I,USD,STD,BANK,C,6020,2004-09-30,143910,BBNK,0.0000,0.0000
A,USD,STD,BANK,C,6020,2004-09-30,144535,HDB,,
I,USD,STD,BANK,C,6020,2004-09-30,144567,SSE.1,1.5640,1.1900
A,USD,STD,BANK,C,6020,2004-09-30,145191,GABA,0.7310,8.7020
I,USD,STD,BANK,C,6020,2004-09-30,146354,ABVA,68.5800,10.0000
I,USD,STD,BANK,C,6020,2004-09-30,146602,3CLOV,1.3490,8.4550
A,USD,STD,BANK,C,6020,2004-09-30,147220,MBVA,0.2400,44.5000
A,USD,STD,BANK,C,6020,2004-09-30,147312,BCBP,25.0000,4.1240
I,USD,STD,BANK,C,6020,2004-09-30,147948,CFHZ,14.1100,10.0000
I,USD,STD,BANK,C,6020,2004-09-30,148653,3PVLN,9.5400,5.0000
A,USD,STD,BANK,C,6020,2004-09-30,148669,CNND,0.0000,21.1010
I,USD,STD,BANK,C,6020,2004-09-30,148937,SNBT,0.0000,189.7500
I,USD,STD,BANK,C,6020,2004-09-30,149618,BANC.3,0.0000,142.5000
A,USD,STD,BANK,C,6020,2004-09-30,150306,TCBI,530.7730,143.0150
I,USD,STD,BANK,C,6020,2004-09-30,150478,OCNB.1,1.2620,20.0500
I,USD,STD,BANK,C,6020,2004-09-30,151078,BOFLQ,0.0000,2.0000
A,USD,STD,BANK,C,6020,2004-09-30,151544,PKBK,,
I,USD,STD,BANK,C,6020,2004-09-30,151606,OLCB,0.0000,22.9600
I,USD,STD,BANK,C,6020,2004-09-30,152049,FBMS,0.0000,41.0920
I,USD,STD,BANK,C,6020,2004-09-30,152931,SAMB,1.4330,3.0000
A,USD,STD,BANK,C,6020,2004-09-30,153895,OPHC,0.0000,42.3050
I,USD,STD,BANK,C,6020,2004-09-30,155584,LBBB.1,0.0000,0.0000
A,USD,STD,BANK,C,6020,2004-09-30,155914,FBCI,60.2890,26.0120
I,USD,STD,BANK,C,6020,2004-09-30,156154,CFHI,22.0690,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,156584,ITYCQ,,41.1860
A,USD,STD,BANK,C,6020,2004-09-30,156653,0450B,165.0980,617.4750
I,USD,STD,BANK,C,6020,2004-09-30,156998,CTBC,,
I,USD,STD,BANK,C,6020,2004-09-30,157973,FLB,511.2950,353.9310
A,USD,STD,BANK,C,6020,2004-09-30,158313,BKOR,,
A,USD,STD,BANK,C,6020,2004-09-30,158587,TBBK,,
I,USD,STD,BANK,C,6020,2004-09-30,158776,FBFS,,
I,USD,STD,BANK,C,6020,2004-09-30,160472,CSNC,0.0000,0.3670
I,USD,STD,BANK,C,6020,2004-09-30,160502,EUBK,364.9730,54.5930
I,USD,STD,BANK,C,6020,2004-09-30,160776,SBNY,65.0000,220.0000
I,USD,STD,BANK,C,6020,2004-09-30,160853,SUFB,,
I,USD,STD,BANK,C,6020,2004-09-30,160886,VLLY,0.0000,0.4770
I,USD,STD,BANK,C,6020,2004-09-30,160891,ANCX,69.3220,38.0540
I,USD,STD,BANK,C,6020,2004-09-30,161927,TBHS,10.0000,0.0000
A,USD,STD,BANK,C,6020,2004-09-30,161942,BFIN,,
I,USD,STD,BANK,C,6020,2004-09-30,161989,CBONQ,0.0000,15.4640
A,USD,STD,BANK,C,6020,2004-09-30,162078,FSTF,0.0000,22.0000
I,USD,STD,BANK,C,6020,2004-09-30,162349,TDBK,6.5000,0.0430
I,USD,STD,BANK,C,6020,2004-09-30,162489,GBNK,,
I,USD,STD,BANK,C,6020,2004-09-30,162555,CART.2,,
I,USD,STD,BANK,C,6020,2004-09-30,162867,3FBOD,0.0000,0.0000
I,USD,STD,BANK,C,6020,2004-09-30,163117,FPBI,,
A,USD,STD,BANK,C,6020,2004-09-30,163667,OTTW,,
A,USD,STD,BANK,C,6020,2004-09-30,163920,WAL,,
I,USD,STD,BANK,C,6020,2004-09-30,163926,COBK,,
I,USD,STD,BANK,C,6020,2004-09-30,164364,ISBC,,
I,USD,STD,BANK,C,6020,2004-09-30,164368,FSGI,16.3020,4.1520
A,USD,STD,BANK,C,6020,2004-09-30,164555,NXTYQ,,
I,USD,STD,BANK,C,6020,2004-09-30,164613,SNBI,,
A,USD,STD,BANK,C,6020,2004-09-30,164633,HOMB,,
A,USD,STD,BANK,C,6020,2004-09-30,165284,FBIZ,,
I,USD,STD,BANK,C,6020,2004-09-30,165610,CNCP,,
I,USD,STD,BANK,C,6020,2004-09-30,165723,TNCC,,
I,USD,STD,BANK,C,6020,2004-09-30,165732,CAPB,,
I,USD,STD,BANK,C,6020,2004-09-30,174301,LMST,,
I,USD,STD,BANK,C,6020,2004-09-30,174313,LTXB,,
A,USD,STD,BANK,C,6020,2004-09-30,175272,OFSI,,
I,USD,STD,BANK,C,6020,2004-09-30,175380,CNLA,,
A,USD,STD,BANK,C,6020,2004-09-30,175979,WSFGQ,,
A,USD,STD,BANK,C,6020,2004-09-30,211732,BMA,,
A,USD,STD,BANK,C,6020,2004-09-30,223148,IBN,,
A,USD,STD,BANK,C,6020,2004-09-30,241366,BCH,1597.6280,2174.5920
A,USD,STD,BANK,C,6020,2004-09-30,248136,MFG,,
A,USD,STD,BANK,C,6020,2004-09-30,252819,WF,,
A,USD,STD,BANK,C,6020,2004-09-30,252940,MUFG,56107.0240,47214.4920
A,USD,STD,BANK,C,6020,2004-09-30,258664,ITCLY,160.7920,939.5110
A,USD,STD,BANK,C,6020,2004-09-30,266160,CZWI,0.0000,13.5000
A,CAD,STD,BANK,C,6020,2004-10-31,015580,BMO,31306.0000,2395.0000
A,CAD,STD,BANK,C,6020,2004-10-31,015581,CM,29959.0000,3864.0000
A,CAD,STD,BANK,C,6020,2004-10-31,015582,BNS,27013.0000,2615.0000
A,CAD,STD,BANK,C,6020,2004-10-31,015620,NTIOF,18386.0000,1408.0000
A,CAD,STD,BANK,C,6020,2004-10-31,015633,RY,45520.0000,8522.0000
A,CAD,STD,BANK,C,6020,2004-10-31,015706,TD,28229.0000,5639.0000
I,USD,STD,BANK,C,6020,2004-10-31,016926,MFLR,0.0000,20.4730
I,USD,STD,BANK,C,6020,2004-12-31,001619,ASO.1,2821.0860,7171.5180
A,USD,STD,BANK,C,6020,2004-12-31,002002,BPOP,11631.6820,8250.5200
A,USD,STD,BANK,C,6020,2004-12-31,002005,BOH,743.6160,242.6380
A,USD,STD,BANK,C,6020,2004-12-31,002019,BK,1205.0000,6654.0000
A,USD,STD,BANK,C,6020,2004-12-31,002620,0176A,1412.1360,1004.4520
I,USD,STD,BANK,C,6020,2004-12-31,002731,PVN,342.0800,1119.2780
I,USD,STD,BANK,C,6020,2004-12-31,002849,BBVA1,5007.9450,3819.6010
A,USD,STD,BANK,C,6020,2004-12-31,002968,JPM,165264.0000,89885.0000
I,USD,STD,BANK,C,6020,2004-12-31,003066,3614B,88630.0000,98149.0000
I,USD,STD,BANK,C,6020,2004-12-31,003071,CRBC,940.4830,734.2120
I,USD,STD,BANK,C,6020,2004-12-31,003082,CYN.1,205.1890,545.3020
A,USD,STD,BANK,C,6020,2004-12-31,003231,CMA,478.0000,4001.0000
A,USD,STD,BANK,C,6020,2004-12-31,003238,CBSH,2030.4340,272.9860
A,USD,STD,BANK,C,6020,2004-12-31,003643,CFR,506.6010,377.4180
A,USD,STD,BANK,C,6020,2004-12-31,004640,FITB,11880.0000,12129.0000
A,USD,STD,BANK,C,6020,2004-12-31,004674,RF,6975.4870,6259.7090
I,USD,STD,BANK,C,6020,2004-12-31,004678,FMER,1337.0530,299.6380
A,USD,STD,BANK,C,6020,2004-12-31,004685,TRMK,1597.8640,180.8940
A,USD,STD,BANK,C,6020,2004-12-31,004690,FCNCA,448.5910,285.0380
A,USD,STD,BANK,C,6020,2004-12-31,004699,MTB,6086.8310,4965.3920
A,USD,STD,BANK,C,6020,2004-12-31,004723,USB,25016.0000,22807.0000
A,USD,STD,BANK,C,6020,2004-12-31,004737,FHN,4827.2940,1541.8780
I,USD,STD,BANK,C,6020,2004-12-31,004739,WB.3,63406.0000,46759.0000
I,USD,STD,BANK,C,6020,2004-12-31,005417,HU,842.8930,1104.7140
I,USD,STD,BANK,C,6020,2004-12-31,005619,HIB,937.4680,1528.4330
A,USD,STD,BANK,C,6020,2004-12-31,005786,HBAN,2807.2330,4726.8850
I,USD,STD,BANK,C,6020,2004-12-31,007067,MI.1,3530.0360,5026.5990
I,USD,STD,BANK,C,6020,2004-12-31,007238,MEL.3,1017.0000,5522.0000
I,USD,STD,BANK,C,6020,2004-12-31,007253,MRBK.1,895.7570,683.0550
A,USD,STD,BANK,C,6020,2004-12-31,007647,BAC,207850.0000,88567.0000
I,USD,STD,BANK,C,6020,2004-12-31,007711,NCC,6559.4770,30064.8430
A,USD,STD,BANK,C,6020,2004-12-31,007982,NTRS,4211.6000,4316.9000
A,USD,STD,BANK,C,6020,2004-12-31,008007,WFC,36548.0000,58994.0000
A,USD,STD,BANK,C,6020,2004-12-31,008245,PNC,3846.0000,8118.0000
A,USD,STD,BANK,C,6020,2004-12-31,009061,HBC2,9954.0000,23759.0000
I,USD,STD,BANK,C,6020,2004-12-31,009142,RIGS.1,498.3040,1211.3270
A,USD,STD,BANK,C,6020,2004-12-31,009783,KEY,8771.0000,10735.0000
I,USD,STD,BANK,C,6020,2004-12-31,010063,STL.2,150.8240,135.7740
A,USD,STD,BANK,C,6020,2004-12-31,010137,SMFG,,
I,USD,STD,BANK,C,6020,2004-12-31,010187,STI.1,14989.9800,18542.5660
A,USD,STD,BANK,C,6020,2004-12-31,010916,UMBF,1546.7270,19.7500
I,USD,STD,BANK,C,6020,2004-12-31,011482,WTNY,571.1060,63.1530
I,USD,STD,BANK,C,6020,2004-12-31,011513,WL,1157.3000,408.6000
A,USD,STD,BANK,C,6020,2004-12-31,011687,ZION,2706.4720,2228.6340
A,USD,STD,BANK,C,6020,2004-12-31,011842,ASB,3301.7160,2229.5400
A,USD,STD,BANK,C,6020,2004-12-31,011856,TFC,6687.8720,11419.6240
A,USD,STD,BANK,C,6020,2004-12-31,011861,VLY,533.2910,1867.1700
I,USD,STD,BANK,C,6020,2004-12-31,011896,FMBI,1181.5890,166.0370
A,USD,STD,BANK,C,6020,2004-12-31,012673,BCS,87762.3800,65676.6480
A,USD,STD,BANK,C,6020,2004-12-31,013041,SNV,1620.1240,1467.5390
A,USD,STD,BANK,C,6020,2004-12-31,014140,SAN,60278.6260,126531.9920
A,USD,STD,BANK,C,6020,2004-12-31,014172,FULT,1320.7540,558.0060
I,USD,STD,BANK,C,6020,2004-12-31,014201,CBCGQ,3258.9350,2260.9570
A,USD,STD,BANK,C,6020,2004-12-31,014219,CADE,468.4080,279.2390
A,USD,STD,BANK,C,6020,2004-12-31,014253,WABC,735.4230,21.4290
